experiment,temperature,phosphate_concentration,nitrate_concentration,replicate,growth_rate
nitrate,10,36.2,1,1,0.214
nitrate,10,36.2,1,2,0.194
nitrate,10,36.2,1,3,0.242
nitrate,15.8,36.2,1,1,0.612
nitrate,15.8,36.2,1,2,0.528
nitrate,15.8,36.2,1,3,0.547
nitrate,20.4,36.2,1,1,0.633
nitrate,20.4,36.2,1,2,0.633
nitrate,20.4,36.2,1,3,0.661
nitrate,23.6,36.2,1,1,0.614
nitrate,23.6,36.2,1,2,0.714
nitrate,23.6,36.2,1,3,0.722
nitrate,28.4,36.2,1,1,0.268
nitrate,28.4,36.2,1,2,0.277
nitrate,28.4,36.2,1,3,0.304
nitrate,30.1,36.2,1,1,0.072
nitrate,30.1,36.2,1,2,0.239
nitrate,30.1,36.2,1,3,0.127
nitrate,32,36.2,1,1,0.008
nitrate,32,36.2,1,2,0.023
nitrate,32,36.2,1,3,0.007
nitrate,10,36.2,15,1,0.286
nitrate,10,36.2,15,2,0.297
nitrate,10,36.2,15,3,0.274
nitrate,15.8,36.2,15,1,0.74
nitrate,15.8,36.2,15,2,0.677
nitrate,15.8,36.2,15,3,0.731
nitrate,20.4,36.2,15,1,0.849
nitrate,20.4,36.2,15,2,0.846
nitrate,20.4,36.2,15,3,0.891
nitrate,23.6,36.2,15,1,0.928
nitrate,23.6,36.2,15,2,0.928
nitrate,23.6,36.2,15,3,0.901
nitrate,28.4,36.2,15,1,0.405
nitrate,28.4,36.2,15,2,0.577
nitrate,28.4,36.2,15,3,0.413
nitrate,30.1,36.2,15,1,0.362
nitrate,30.1,36.2,15,2,0.409
nitrate,30.1,36.2,15,3,0.393
nitrate,32,36.2,15,1,0.05
nitrate,32,36.2,15,2,0.049
nitrate,32,36.2,15,3,0.115
nitrate,10,36.2,300,1,0.352
nitrate,10,36.2,300,2,0.319
nitrate,10,36.2,300,3,0.332
nitrate,15.8,36.2,300,1,0.835
nitrate,15.8,36.2,300,2,0.872
nitrate,15.8,36.2,300,3,0.866
nitrate,20.4,36.2,300,1,0.908
nitrate,20.4,36.2,300,2,0.909
nitrate,20.4,36.2,300,3,0.906
nitrate,23.6,36.2,300,1,1.025
nitrate,23.6,36.2,300,2,1.038
nitrate,23.6,36.2,300,3,1.053
nitrate,28.4,36.2,300,1,1.187
nitrate,28.4,36.2,300,2,1.198
nitrate,28.4,36.2,300,3,1.224
nitrate,30.1,36.2,300,1,1.241
nitrate,30.1,36.2,300,2,1.271
nitrate,30.1,36.2,300,3,1.309
nitrate,32,36.2,300,1,0.843
nitrate,32,36.2,300,2,0.806
nitrate,32,36.2,300,3,0.909
nitrate,10,36.2,884,1,0.235
nitrate,10,36.2,884,2,0.214
nitrate,10,36.2,884,3,0.286
nitrate,15.8,36.2,884,1,0.658
nitrate,15.8,36.2,884,2,0.669
nitrate,15.8,36.2,884,3,0.637
nitrate,20.2,36.2,884,1,1.194
nitrate,20.2,36.2,884,2,1.205
nitrate,20.2,36.2,884,3,1.237
nitrate,25.1,36.2,884,1,1.316
nitrate,25.1,36.2,884,2,1.266
nitrate,25.1,36.2,884,3,1.338
nitrate,28.5,36.2,884,1,1.268
nitrate,28.5,36.2,884,2,1.316
nitrate,28.5,36.2,884,3,1.291
nitrate,29.3,36.2,884,1,1.099
nitrate,29.3,36.2,884,2,1.075
nitrate,29.3,36.2,884,3,1.094
nitrate,31,36.2,884,1,1.038
nitrate,31,36.2,884,2,1.039
nitrate,31,36.2,884,3,1.021
phosphate,20,1,549,1,0.964
phosphate,20,1,549,2,0.885
phosphate,20,1,549,3,0.903
phosphate,25,1,549,1,1.251
phosphate,25,1,549,2,1.301
phosphate,25,1,549,3,1.309
phosphate,27.5,1,549,1,1.154
phosphate,27.5,1,549,2,1.23
phosphate,27.5,1,549,3,1.316
phosphate,30,1,549,1,1.038
phosphate,30,1,549,2,1.048
phosphate,30,1,549,3,1.011
phosphate,32.5,1,549,1,0.902
phosphate,32.5,1,549,2,0.79
phosphate,32.5,1,549,3,0.78
phosphate,20,2.5,549,1,1.152
phosphate,20,2.5,549,2,1.083
phosphate,20,2.5,549,3,1.197
phosphate,25,2.5,549,1,1.309
phosphate,25,2.5,549,2,1.319
phosphate,25,2.5,549,3,1.314
phosphate,27.5,2.5,549,1,1.352
phosphate,27.5,2.5,549,2,1.453
phosphate,27.5,2.5,549,3,1.44
phosphate,30,2.5,549,1,1.221
phosphate,30,2.5,549,2,1.184
phosphate,30,2.5,549,3,1.147
phosphate,32.5,2.5,549,1,0.806
phosphate,32.5,2.5,549,2,0.839
phosphate,32.5,2.5,549,3,0.842
phosphate,20,5,549,1,1.161
phosphate,20,5,549,2,1.283
phosphate,20,5,549,3,1.249
phosphate,25,5,549,1,1.349
phosphate,25,5,549,2,1.351
phosphate,25,5,549,3,1.316
phosphate,27.5,5,549,1,1.347
phosphate,27.5,5,549,2,1.55
phosphate,27.5,5,549,3,1.364
phosphate,30,5,549,1,1.305
phosphate,30,5,549,2,1.338
phosphate,30,5,549,3,1.318
phosphate,32.5,5,549,1,1.024
phosphate,32.5,5,549,2,1.061
phosphate,32.5,5,549,3,1.09
phosphate,20,15,549,1,1.199
phosphate,20,15,549,2,1.224
phosphate,20,15,549,3,1.264
phosphate,25,15,549,1,1.343
phosphate,25,15,549,2,1.337
phosphate,25,15,549,3,1.348
phosphate,27.5,15,549,1,1.37
phosphate,27.5,15,549,2,1.367
phosphate,27.5,15,549,3,1.372
phosphate,30,15,549,1,1.413
phosphate,30,15,549,2,1.423
phosphate,30,15,549,3,1.397
phosphate,32.5,15,549,1,0.986
phosphate,32.5,15,549,2,0.9
phosphate,32.5,15,549,3,0.883
phosphate,20,36.2,549,1,1.114
phosphate,20,36.2,549,2,1.234
phosphate,20,36.2,549,3,1.283
phosphate,25,36.2,549,1,1.303
phosphate,25,36.2,549,2,1.3
phosphate,25,36.2,549,3,1.316
phosphate,27.5,36.2,549,1,1.479
phosphate,27.5,36.2,549,2,1.466
phosphate,27.5,36.2,549,3,1.281
phosphate,30,36.2,549,1,1.377
phosphate,30,36.2,549,2,1.372
phosphate,30,36.2,549,3,1.391
phosphate,32.5,36.2,549,1,0.888
phosphate,32.5,36.2,549,2,0.973
phosphate,32.5,36.2,549,3,1.02
